"full_branch","superkingdom","kingdom","phylum","class","order","family"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Valsonectriaceae","Eukaryota","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Valsonectriaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Pseudoniessliaceae","Eukaryota","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Pseudoniessliaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Chrysonectriaceae","Eukaryota","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Chrysonectriaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Neoacremoniaceae","Eukaryota","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Neoacremoniaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nothoacremoniaceae","Eukaryota","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nothoacremoniaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Opiliones;Phalangida;Laniatores;Insidiatores;Travunioidea;Cryptomastridae","Eukaryota","Metazoa","Arthropoda","Arachnida","Opiliones","Cryptomastridae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Acropomatiformes;Malakichthyidae","Eukaryota","Metazoa","Chordata","Actinopteri","Acropomatiformes","Malakichthyidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Catenulida;Retronectidae","Eukaryota","Metazoa","Platyhelminthes","Catenulida","na","Retronectidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Echinodermata;Pelmatozoa;Crinoidea;Articulata;Comatulida;Catoptometridae","Eukaryota","Metazoa","Echinodermata","Crinoidea","Comatulida","Catoptometridae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Echinodermata;Pelmatozoa;Crinoidea;Articulata;Comatulida;Stephanometridae","Eukaryota","Metazoa","Echinodermata","Crinoidea","Comatulida","Stephanometridae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Echinodermata;Pelmatozoa;Crinoidea;Articulata;Comatulida;Pontiometridae","Eukaryota","Metazoa","Echinodermata","Crinoidea","Comatulida","Pontiometridae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;Pezizomycetes;Pezizales;Strobiloscyphaceae","Eukaryota","Fungi","Ascomycota","Pezizomycetes","Pezizales","Strobiloscyphaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blaberoidea;Nyctiboridae","Eukaryota","Metazoa","Arthropoda","Insecta","Blattodea","Nyctiboridae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blaberoidea;Blattellidae","Eukaryota","Metazoa","Arthropoda","Insecta","Blattodea","Blattellidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blaberoidea;Pseudophyllodromiidae","Eukaryota","Metazoa","Arthropoda","Insecta","Blattodea","Pseudophyllodromiidae"
