"","full_branch","superkingdom","kingdom","phylum","class","order","family"
"1","cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Valsonectriaceae","Eukaryota_2759","Fungi_4751","Ascomycota_4890","Sordariomycetes_147550","Hypocreales_5125","Valsonectriaceae_3055810"
"2","cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Pseudoniessliaceae","Eukaryota_2759","Fungi_4751","Ascomycota_4890","Sordariomycetes_147550","Hypocreales_5125","Pseudoniessliaceae_3054393"
"3","cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Chrysonectriaceae","Eukaryota_2759","Fungi_4751","Ascomycota_4890","Sordariomycetes_147550","Hypocreales_5125","Chrysonectriaceae_3054392"
"4","cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Neoacremoniaceae","Eukaryota_2759","Fungi_4751","Ascomycota_4890","Sordariomycetes_147550","Hypocreales_5125","Neoacremoniaceae_3054283"
"5","cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nothoacremoniaceae","Eukaryota_2759","Fungi_4751","Ascomycota_4890","Sordariomycetes_147550","Hypocreales_5125","Nothoacremoniaceae_3054282"
"6","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Opiliones;Phalangida;Laniatores;Insidiatores;Travunioidea;Cryptomastridae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Arachnida_6854","Opiliones_43271","Cryptomastridae_3053350"
"7","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Acropomatiformes;Malakichthyidae","Eukaryota_2759","Metazoa_33208","Chordata_7711","Actinopteri_186623","Acropomatiformes_3051910","Malakichthyidae_3051911"
"8","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Catenulida;Retronectidae","Eukaryota_2759","Metazoa_33208","Platyhelminthes_6157","Catenulida_39236","character(0)_character(0)","Retronectidae_3051327"
"9","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Echinodermata;Pelmatozoa;Crinoidea;Articulata;Comatulida;Catoptometridae","Eukaryota_2759","Metazoa_33208","Echinodermata_7586","Crinoidea_35069","Comatulida_7581","Catoptometridae_3050660"
"10","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Echinodermata;Pelmatozoa;Crinoidea;Articulata;Comatulida;Stephanometridae","Eukaryota_2759","Metazoa_33208","Echinodermata_7586","Crinoidea_35069","Comatulida_7581","Stephanometridae_3050659"
"11","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Echinodermata;Pelmatozoa;Crinoidea;Articulata;Comatulida;Pontiometridae","Eukaryota_2759","Metazoa_33208","Echinodermata_7586","Crinoidea_35069","Comatulida_7581","Pontiometridae_3050658"
"12","cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;Pezizomycetes;Pezizales;Strobiloscyphaceae","Eukaryota_2759","Fungi_4751","Ascomycota_4890","Pezizomycetes_147549","Pezizales_5185","Strobiloscyphaceae_3049959"
"13","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blaberoidea;Nyctiboridae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Insecta_50557","Blattodea_85823","Nyctiboridae_3046528"
"14","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blaberoidea;Blattellidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Insecta_50557","Blattodea_85823","Blattellidae_3046527"
"15","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blaberoidea;Pseudophyllodromiidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Insecta_50557","Blattodea_85823","Pseudophyllodromiidae_3046452"
"16","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Heterobranchia;lower Heterobranchia;Valvatoidea;Hyalogyrinidae","Eukaryota_2759","Metazoa_33208","Mollusca_6447","Gastropoda_6448","character(0)_character(0)","Hyalogyrinidae_3043776"
"17","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Placozoa;Uniplacotomia;Hoilungea;Hoilungidae","Eukaryota_2759","Metazoa_33208","Placozoa_10226","Uniplacotomia_3043701","Hoilungea_3043704","Hoilungidae_3043706"
"18","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Passeriformes;Passeroidea;Prunellidae","Eukaryota_2759","Metazoa_33208","Chordata_7711","Aves_8782","Passeriformes_9126","Prunellidae_3042242"
"19","cellular organisms;Eukaryota;Discoba;Jakobida;Agogonidae","Eukaryota_2759","character(0)_character(0)","character(0)_character(0)","character(0)_character(0)","Jakobida_556282","Agogonidae_3042104"
"20","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Tanaidacea;Tanaidomorpha;Paratanaidoidea;Paranarthrurellidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Malacostraca_6681","Tanaidacea_75398","Paranarthrurellidae_3041872"
"21","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Scaphopoda;Dentaliida;Laevidentaliidae","Eukaryota_2759","Metazoa_33208","Mollusca_6447","Scaphopoda_32584","Dentaliida_32585","Laevidentaliidae_3041394"
"22","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Scaphopoda;Dentaliida;Calliodentaliidae","Eukaryota_2759","Metazoa_33208","Mollusca_6447","Scaphopoda_32584","Dentaliida_32585","Calliodentaliidae_3041393"
"23","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Scaphopoda;Dentaliida;Anulidentaliidae","Eukaryota_2759","Metazoa_33208","Mollusca_6447","Scaphopoda_32584","Dentaliida_32585","Anulidentaliidae_3041390"
"24","cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Litostomatea;Trichostomatia;Entodiniomorphida;Rhinozetidae","Eukaryota_2759","character(0)_character(0)","Ciliophora_5878","Litostomatea_5988","Entodiniomorphida_40634","Rhinozetidae_3041078"
"25","cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Peribolosporomycetes;Peribolosporales;Peribolosporaceae","Eukaryota_2759","Fungi_4751","Basidiomycota_5204","Peribolosporomycetes_3040708","Peribolosporales_3040709","Peribolosporaceae_3040710"
"26","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Cestoda;Eucestoda;Rhinebothriidea;Mixobothriidae","Eukaryota_2759","Metazoa_33208","Platyhelminthes_6157","Cestoda_6199","Rhinebothriidea_108298","Mixobothriidae_3040352"
"27","cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Bryophyta;Bryophytina;Bryopsida;Dicranidae;Dicranales;Dicranellopsidaceae","Eukaryota_2759","Viridiplantae_33090","Streptophyta_35493","Bryopsida_3214","Dicranales_3219","Dicranellopsidaceae_3039787"
"28","cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Bryophyta;Bryophytina;Bryopsida;Dicranidae;Dicranales;Rhizogemmaceae","Eukaryota_2759","Viridiplantae_33090","Streptophyta_35493","Bryopsida_3214","Dicranales_3219","Rhizogemmaceae_3039783"
"29","cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Bryophyta;Bryophytina;Bryopsida;Dicranidae;Dicranales;Ruficaulaceae","Eukaryota_2759","Viridiplantae_33090","Streptophyta_35493","Bryopsida_3214","Dicranales_3219","Ruficaulaceae_3039782"
"30","cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Galdieriales;Galdieriaceae","Eukaryota_2759","character(0)_character(0)","Rhodophyta_2763","Bangiophyceae_2797","Galdieriales_3039357","Galdieriaceae_3039359"
"31","cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Cavernulicolales;Cavernulicolaceae","Eukaryota_2759","character(0)_character(0)","Rhodophyta_2763","Bangiophyceae_2797","Cavernulicolales_3039356","Cavernulicolaceae_3039358"
"32","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Amphipoda;Senticaudata;Talitrida;Talitroidea;Makawidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Malacostraca_6681","Amphipoda_6821","Makawidae_3038241"
"33","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Scleralcyonacea;Sarcodictyonidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Scleralcyonacea_3028851","Sarcodictyonidae_3037782"
"34","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Scleralcyonacea;Pleurogorgiidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Scleralcyonacea_3028851","Pleurogorgiidae_3037781"
"35","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Scleralcyonacea;Isidoidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Scleralcyonacea_3028851","Isidoidae_3037780"
"36","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Scleralcyonacea;Ideogorgiidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Scleralcyonacea_3028851","Ideogorgiidae_3037779"
"37","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Scleralcyonacea;Chelidonisididae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Scleralcyonacea_3028851","Chelidonisididae_3037778"
"38","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Skamnariidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Skamnariidae_3037777"
"39","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Sinulariidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Sinulariidae_3037776"
"40","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Scleracidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Scleracidae_3037775"
"41","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Rosgorgiidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Rosgorgiidae_3037774"
"42","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Pterogorgiidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Pterogorgiidae_3037771"
"43","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Nephthyigorgiidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Nephthyigorgiidae_3037769"
"44","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Malacacanthidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Malacacanthidae_3037768"
"45","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Incrustatidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Incrustatidae_3037764"
"46","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Euplexauridae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Euplexauridae_3037761"
"47","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Eunicellidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Eunicellidae_3037760"
"48","cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Foraminifera;Allogromida;Lieberkuehniidae","Eukaryota_2759","character(0)_character(0)","Foraminifera_29178","character(0)_character(0)","character(0)_character(0)","Lieberkuehniidae_3037755"
"49","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Discophytidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Discophytidae_3037731"
"50","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Cladiellidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Cladiellidae_3037730"
"51","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Cerveridae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Cerveridae_3037729"
"52","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Carijoidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Carijoidae_3037717"
"53","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Capnellidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Capnellidae_3037715"
"54","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Astrogorgiidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Astrogorgiidae_3037714"
"55","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Anthogorgiidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Malacalcyonacea_3028843","Anthogorgiidae_3037713"
"56","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Aplacophora;Solenogastres;Solenogastres incertae sedis;Apodomeniidae","Eukaryota_2759","Metazoa_33208","Mollusca_6447","Solenogastres_231996","character(0)_character(0)","Apodomeniidae_3035241"
"57","cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Peridiniales;Ensiculiferaceae","Eukaryota_2759","character(0)_character(0)","character(0)_character(0)","Dinophyceae_2864","Peridiniales_2910","Ensiculiferaceae_3033397"
"58","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Aplacophora;Solenogastres;Solenogastres incertae sedis;Strophomeniidae","Eukaryota_2759","Metazoa_33208","Mollusca_6447","Solenogastres_231996","character(0)_character(0)","Strophomeniidae_3032926"
"59","cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Foraminifera;Monothalamids;Velamentofexidae","Eukaryota_2759","character(0)_character(0)","Foraminifera_29178","character(0)_character(0)","character(0)_character(0)","Velamentofexidae_3031768"
"60","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Amphianthidae","Eukaryota_2759","Metazoa_33208","Cnidaria_6073","Anthozoa_6101","Actiniaria_6103","Amphianthidae_3031618"
"61","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Amphipoda;Senticaudata;Talitrida;Talitroidea;Curiotalitridae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Malacostraca_6681","Amphipoda_6821","Curiotalitridae_3030476"
"62","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Amphipoda;Senticaudata;Talitrida;Talitroidea;Protorchestiidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Malacostraca_6681","Amphipoda_6821","Protorchestiidae_3030464"
"63","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Aproctoidea;Aproctidae","Eukaryota_2759","Metazoa_33208","Nematoda_6231","Chromadorea_119089","Rhabditida_6236","Aproctidae_3029693"
"64","cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Mediophyceae;Biddulphiophycidae;Ardissoneales;Ardissoneaceae","Eukaryota_2759","character(0)_character(0)","Bacillariophyta_2836","Mediophyceae_589449","Ardissoneales_3028874","Ardissoneaceae_3028875"
"65","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Cucujiformia;Coccinelloidea;Cerasommatidiidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Insecta_50557","Coleoptera_7041","Cerasommatidiidae_3026514"
"66","cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Glomeromycotina;Glomeromycetes;Entrophosporales;Entrophosporaceae","Eukaryota_2759","Fungi_4751","Mucoromycota_1913637","Glomeromycetes_214506","Entrophosporales_3059595","Entrophosporaceae_3025479"
