"user_supplied_name","submitted_name","data_source_id","data_source_title","gni_uuid","matched_name","classification_path","classification_path_ranks","classification_path_ids","taxon_id","edit_distance","imported_at","match_type","match_value","prescore","score","genus"
"Ablabesmyia idei","Ablabesmyia idei",4,"National Center for Biotechnology Information","b4d5fbe6-99d3-56b5-8b61-4e86f16ecf7b","Ablabesmyia","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Nematocera|Culicomorpha|Chironomoidea|Chironomidae|Tanypodinae|Pentaneurini|Ablabesmyia","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|subfamily|tribe|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7147|7148|43786|41828|7149|43810|55261|46216","46216",0,"2024-01-09T22:06:27Z","6","Could only match genus","1|0|0",0.75,"Ablabesmyia"
"Abrothallus lobariae","Abrothallus lobariae",4,"National Center for Biotechnology Information","861b1da2-901f-52ff-bf85-1de24fd7cfc5","Abrothallus","|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota||Pezizomycotina|||Dothideomycetes||Abrothallales|Abrothallaceae|Abrothallus","|superkingdom|clade|kingdom|subkingdom|phylum|clade|subphylum|clade|clade|class||order|family|genus","131567|2759|33154|4751|451864|4890|716545|147538|716546|715962|147541|159987|1429049|1429050|941766","941766",0,"2024-01-09T22:39:12Z","6","Could only match genus","1|0|0",0.75,"Abrothallus"
"Acalitus brevitarsus","Acalitus brevitarsus",4,"National Center for Biotechnology Information","c37efeed-9860-5010-9f7a-0ac488bd1457","Acalitus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Chelicerata|Arachnida|Acari|Acariformes|Trombidiformes|Prostigmata|Eupodina|Eriophyoidea|Eriophyidae|Eriophyinae|Aceriini|Acalitus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|subphylum|class|subclass|superorder|order|suborder|clade|superfamily|family|subfamily|tribe|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|6843|6854|6933|6946|83136|6947|83139|70332|70320|426503|426509|1452645","1452645",0,"2024-01-09T22:58:27Z","6","Could only match genus","1|0|0",0.75,"Acalitus"
"Acalypta nyctalis","Acalypta nyctalis",4,"National Center for Biotechnology Information","af8cc2a8-525b-5046-bf3b-4b70e66f646b","Acalypta","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Paraneoptera|Hemiptera|Prosorrhyncha|Heteroptera|Euheteroptera|Neoheteroptera|Panheteroptera|Cimicomorpha|Tingoidea|Tingidae|Acalypta","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|clade|suborder|clade|clade|clade|infraorder|superfamily|family|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33342|7524|33343|33345|33347|33349|33351|33354|2053429|236450|1400081","1400081",0,"2024-01-09T22:56:22Z","6","Could only match genus","1|0|0",0.75,"Acalypta"
"Acanthinula antonini","Acanthinula antonini",4,"National Center for Biotechnology Information","edda1ec6-f48b-5404-9291-ba93d30e5121","Acanthinula","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Spiralia|Lophotrochozoa|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Panpulmonata|Eupulmonata|Stylommatophora|Orthurethra|Valloniidae|Acanthinula","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|class|subclass|clade|clade|superorder|order|clade|family|genus","131567|2759|33154|33208|6072|33213|33317|2697495|1206795|6447|6448|216305|216307|977775|120490|6527|216365|216448|229286","229286",0,"2024-01-09T22:14:23Z","6","Could only match genus","1|0|0",0.75,"Acanthinula"
"Acanthocinus pusillus","Acanthocinus pusillus",4,"National Center for Biotechnology Information","c2bb3e96-87c5-5f59-b61c-82befd2d9af8","Acanthocinus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Cerambycidae|Lamiinae|Acanthocinini|Acanthocinus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|subfamily|tribe|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7041|41084|41088|71528|34667|79514|185370|1323393","1323393",0,"2024-01-09T22:53:15Z","6","Could only match genus","1|0|0",0.75,"Acanthocinus"
"Acanthocnema capillata","Acanthocnema capillata",4,"National Center for Biotechnology Information","ea84ef05-ace5-5223-91d1-99a16c5eb91f","Acanthocnema","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Brachycera|Muscomorpha|Eremoneura|Cyclorrhapha|Schizophora|Calyptratae|Muscoidea|Scathophagidae|Scathophaginae|Acanthocnema","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|clade|clade|||superfamily|family|subfamily|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7147|7203|43733|480118|480117|43738|43742|43754|43756|95472|113151","113151",0,"2024-01-09T22:09:21Z","6","Could only match genus","1|0|0",0.75,"Acanthocnema"
"Acanthocyclops venustus","Acanthocyclops venustus",4,"National Center for Biotechnology Information","18b13a0f-02b9-559d-8205-4495ce9f027b","Acanthocyclops","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Crustacea|Multicrustacea|Hexanauplia|Copepoda|Neocopepoda|Podoplea|Cyclopoida|Cyclopidae|Acanthocyclops","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|superclass|class|subclass|infraclass|superorder|order|family|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6657|2172821|72037|6830|116569|116571|84308|84315|245076","245076",0,"2024-01-09T22:15:03Z","6","Could only match genus","1|0|0",0.75,"Acanthocyclops"
"Acantholyda luteopicta","Acantholyda luteopicta",4,"National Center for Biotechnology Information","9f56699a-e190-5507-8742-3992093a35be","Acantholyda","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Hymenoptera|Pamphilioidea|Pamphiliidae|Cephalciinae|Acantholyda","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|superfamily|family|subfamily|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7399|222822|95274|410281|222797","222797",0,"2024-01-09T22:14:02Z","6","Could only match genus","1|0|0",0.75,"Acantholyda"
"Acanthoneta furcata","Acanthoneta furcata",4,"National Center for Biotechnology Information","5d14e520-beca-538d-b988-0fd4f64b9461","Acanthoneta","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Chelicerata|Arachnida|Araneae|Araneomorphae|Entelegynae|Orbiculariae|Araneoidea|Linyphiidae|Micronetinae|Acanthoneta","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|subphylum|class|order|suborder|clade|clade|superfamily|family|subfamily|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|6843|6854|6893|6905|74971|74974|74975|81835|430915|933022","933022",0,"2024-01-09T22:38:56Z","6","Could only match genus","1|0|0",0.75,"Acanthoneta"
