"user_supplied_name","submitted_name","data_source_id","data_source_title","gni_uuid","matched_name","classification_path","classification_path_ranks","classification_path_ids","taxon_id","edit_distance","imported_at","match_type","match_value","prescore","score","superkingdom","kingdom","phylum","class","order","family","genus","species"
"Ablabesmyia ramphe group","Ablabesmyia ramphe group",4,"National Center for Biotechnology Information","4ce755fb-850f-563a-99b8-7811469337b4","Ablabesmyia rhamphe","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Nematocera|Culicomorpha|Chironomoidea|Chironomidae|Tanypodinae|Pentaneurini|Ablabesmyia|Ablabesmyia rhamphe","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|subfamily|tribe|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7147|7148|43786|41828|7149|43810|55261|46216|46217","46217",1,"2024-01-09T22:06:27Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Ablabesmyia","Ablabesmyia rhamphe"
"Aceratagallia sanguinolenta","Aceratagallia sanguinolenta",4,"National Center for Biotechnology Information","3f6cacd3-c016-57d3-a696-2af5cdb8fc0f","Ceratagallia sanguinolenta","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Paraneoptera|Hemiptera|Auchenorrhyncha|Cicadomorpha|Membracoidea|Cicadellidae|Megophthalminae|Ceratagallia|Ceratagallia sanguinolenta","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33342|7524|1955247|33365|33368|30102|139578|1380440|1655906","1655906",2,"2024-01-09T23:06:28Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","Ceratagallia","Ceratagallia sanguinolenta"
"Acerpenna macdonnoughi","Acerpenna macdonnoughi",4,"National Center for Biotechnology Information","fb649ea6-a249-5b79-b6e6-529efbbeb044","Acerpenna macdunnoughi","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Palaeoptera|Ephemeroptera|Pisciforma|Baetidae|Acerpenna|Acerpenna macdunnoughi","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|order|suborder|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33339|30073|185809|172515|603840|603842","603842",1,"2024-01-09T22:29:14Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Ephemeroptera","Baetidae","Acerpenna","Acerpenna macdunnoughi"
"acipenser brevirostrum","Acipenser brevirostrum",4,"National Center for Biotechnology Information","c747d55a-9464-5f25-ab45-fd1a9a933f00","Acipenser brevirostrum","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Chondrostei|Acipenseriformes|Acipenseroidei|Acipenseridae|Acipenserinae|Acipenserini|Acipenser|Acipenser brevirostrum","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|order|suborder|family|subfamily|tribe|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|32440|7899|186622|7900|124129|124130|7901|7907","7907",0,"2024-01-09T22:05:21Z","1","Exact string match","3|0|0",0.988,"Eukaryota","Metazoa","Chordata","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","Acipenser brevirostrum"
"acipenser oxyrhynchus","Acipenser oxyrhynchus",4,"National Center for Biotechnology Information","78ce17b5-0aca-5782-9710-a1ed2ebe741e","Acipenser oxyrinchus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Chondrostei|Acipenseriformes|Acipenseroidei|Acipenseridae|Acipenserinae|Acipenserini|Acipenser|Acipenser oxyrinchus","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|order|suborder|family|subfamily|tribe|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|32440|7899|186622|7900|124129|124130|7901|36177","36177",2,"2024-01-09T22:06:00Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Chordata","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","Acipenser oxyrinchus"
"Acoptus subturalis","Acoptus subturalis",4,"National Center for Biotechnology Information","fc67edee-8272-5304-867b-b39228c8c946","Acoptus suturalis","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionidae|Conoderinae|Acoptus|Acoptus suturalis","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7041|41084|41088|71529|7042|167476|1479696|1479697","1479697",1,"2024-01-09T22:59:31Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Acoptus","Acoptus suturalis"
"Adaina montanus","Adaina montanus",4,"National Center for Biotechnology Information","23b1f367-3ea1-5945-a5fd-ef3b858cef6c","Adaina montana","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Obtectomera|Pterophoroidea|Pterophoridae|Pterophorinae|Adaina|Adaina montana","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|infraorder|parvorder|clade|clade|superfamily|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|85604|7088|41191|41196|41197|37567|104431|104493|186111|186112|690229|690230","690230",2,"2024-01-09T22:31:52Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Pterophoridae","Adaina","Adaina montana"
"Admete viridula","Admete viridula",4,"National Center for Biotechnology Information","1f3026a4-dd59-55c7-ba94-76a536e628e5","Admete viridula","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Spiralia|Lophotrochozoa|Mollusca|Gastropoda|Caenogastropoda|Neogastropoda|Cancellarioidea|Cancellariidae|Admete|Admete viridula","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|class|subclass|order|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|2697495|1206795|6447|6448|69555|6479|216304|55860|912977|912978","912978",0,"2024-01-09T22:38:06Z","1","Exact string match","3|0|0",0.988,"Eukaryota","Metazoa","Mollusca","Gastropoda","Neogastropoda","Cancellariidae","Admete","Admete viridula"
"Aechmorphorus clarkii","Aechmorphorus clarkii",4,"National Center for Biotechnology Information","f6861d81-4aaf-5f24-93e6-91cb185817f8","Aechmophorus clarkii","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Sauropsida|Sauria|Archelosauria|Archosauria|Dinosauria|Saurischia|Theropoda|Coelurosauria|Aves|Neognathae|Podicipediformes|Podicipedidae|Aechmophorus|Aechmophorus clarkii","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|clade|clade|clade|clade|clade|clade|clade|clade|clade|clade|clade|class|infraclass|order|family|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|8287|1338369|32523|32524|8457|32561|1329799|8492|436486|436489|436491|436492|8782|8825|30447|30448|57235|190660","190660",1,"2024-01-09T22:12:41Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","Aechmophorus clarkii"
"Aechmorphorus occidentalis","Aechmorphorus occidentalis",4,"National Center for Biotechnology Information","405663de-ff66-5afb-81d2-1ca4abe8f091","Aechmophorus occidentalis","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Sauropsida|Sauria|Archelosauria|Archosauria|Dinosauria|Saurischia|Theropoda|Coelurosauria|Aves|Neognathae|Podicipediformes|Podicipedidae|Aechmophorus|Aechmophorus occidentalis","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|clade|clade|clade|clade|clade|clade|clade|clade|clade|clade|clade|class|infraclass|order|family|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|8287|1338369|32523|32524|8457|32561|1329799|8492|436486|436489|436491|436492|8782|8825|30447|30448|57235|57236","57236",1,"2024-01-09T22:06:55Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","Aechmophorus occidentalis"
