Species,
petromyzon marinus,
anguilla rostrata,
micropterus salmoides,
salvelinus fontinalis,
microgadus tomcod,
salmo salar,
alosa sapidissima,
alosa aestivalis,
morone saxatilis,
morone americana,
alosa pseudoharengus,
osmerus mordax,
sebastes fasciatus,
urophycis tenuis,
brosme brosme,
gadus morhua,
thunnus thynnus,
pollachius virens,
Brevoortia tyrannus,
merluccius bilinearis,
oncorhynchus mykiss,
salmo trutta,
acipenser oxyrhynchus,
acipenser brevirostrum,
fundulus heterclitus,
